Name,Sail no.,Type,Design,Designer,Region
Cricket,9170,Keelboat,Benetau,Benetau,
Crickle,T2824,,,C Jeffrey,
Crikey Dick,3749,Other,,H Wagstaff,
Crime Of Passion,T378,,Caribou 20,F Pelin,
Crimson Dynamo,3113,Keelboat,Townson 25,D T Townson,
Crimson Tide,8260,Other,,Van De Staadt,
Crisara,T1483,,Gazelle 24,T Adams,
Cristal Voyager,,Keelboat,Beneteau Ocean 47,,
Cristina,,Keelboat,,,
Crocodale Rock,T3695,Trailer Yacht,Elliott 5.9,Greg Elliott,Southland
Crocodile,6576,Keelboat,Elliott 770,Greg Elliott,
Crocodile Rock,8109,,Elliott 1050,Greg Elliott,
Crocus,8132,Keelboat,,W Atkin,
Crossbow,2266,Keelboat,,J Spencer,
Crossfire,4044,Keelboat,,J Lidgard,
Crossfire II,5679,,,T C Ratcliffe,
Crosswind,3084,,,T Adams,
Crowbar,6414,,,Haag,
Crowded House,6664,Keelboat,Farr 9.2,Bruce Farr,
Crowded House,6490,Keelboat,Young 88,Jim Young,
Crowded House 2,7514,Other,,Malcolm Tennant,
Crows Nest,419,,,J Spencer,
Cruachan,T3237,,Monarch 17,Alan Wright,
Cruella,1417,,,Owen Woolley,
Cruise Control,T3665,Trailer Yacht,Noelex 25,TretheweyMarten,
Cruise Control,8179,Keelboat,,R Beale,
Cruise Mode,3648,Keelboat,Nova 28,Alan Wright,
Cruntch,2272,,,J Lidgard,
Crusade,2189,,,R Salthouse,
Crusader,T2881,,Merlin,A Mummery,
Crusader,T439,,,R Hartley,
Crusader,2632,,,Jackson,
Crusader,L1133,Launch,,Bill Upfold,
Crusader X,1132,Keelboat,,Lidgard,
Crusoe,5607,,Nova,Alan Wright,
Crusoe,6003,Keelboat,,Bruce Askew,
Cruzin,8394,Keelboat,Chico 355,Keith Eade,
Cry Havoc,T3572,,,E Garratt,
Cryptic,4381,,,Owen Woolley,
Crystal,1330,Other,,D Townson,
Crystal Clear,8097,Keelboat,Warwick 50,Alan Warwick,Auckland
Crystal Harmony,7524,Multi-hull,Catamaran,R Given,Bay of Plenty
Crystal Mist,6933,Other,Beale 33,Ray Beale,
Crystal Voyager,3213,Other,,Lee & Sparkman,
Cubic,7820,Multi-hull,Farrier 82R,Ian Farrier,
Cuddles,T15,,,R Hartley,
Cui Bono,6982,,,L Davidson,
Cullen,3142,,,Walker,
Culloden,4461,,Variant,Alan Wright,
Culprit,1837,,,L F Herreshoff,
Cumulus,2726,Other,Spencer 30,J Spencer,
Cumulus Cirrus,T3919,,Hartley 16,R Hartley,
Cundiah,2734,,,B Seabourne,
Cunning Plan,E8,,Etchells,Etchell,
Curdle,T3119,,Hartley 18,R Hartley,
Curiosity,5781,,,Alan Warwick,
Curlew,1502,,Raven 26,Owen Woolley,
Curlew,T625,,,R Hartley,
Currawong,672,,,Breekveldt,
Current Affair,T3472,,,A Wright,
Current Affair,5543,Keelboat,Farr 940,Bruce Farr,
Curved Air,7234,,,F Pelin,
Custard Truck,T4207,Trailer Yacht,,Robert Shaw,
Cut Lunch,T3231,,Elliott 5.9,Greg Elliott,
Cut The Crap,9778,Keelboat,Shaw 550,Rob Shaw,
Cutlass,T1545,,,Honey/Trethewey,
Cutlass,7167,,,,
Cutting Edge,8060,Keelboat,Elliott 1050,Greg Elliott,
Cutting Loose,T2603,Trailer Yacht,Noelex 22,Honey/Trethewey,
Cutty Sark,T6,,,R Hartley,
Cuttyhunk,4716,Keelboat,Farr,Bruce Farr,
Cybele,1166,,,van de Stadt,
Cyclades,T3988,,Whiting 22,P Whiting,
Cyclone,3489,,,J Spencer,
Cygnet,1521,,,Woollacott,
Cygnet,T3645,,Caribou 20,F Pelin,
Cygnet,1491,,,Tarabocchia,
Cygnet II,4495,,,P Wells,
Cygnus,2131,,Wright 10,Alan Wright,
Cygnus II,8708,Other,,Gulf Star 50,
Cymro,724,,,Illingworth,
Cynosure,374,,,Barry Colson,
Cynosure,T440,,,Honey/Trethewey,
Cynosure,T1231,,,,
Cynosure II,T1304,,,,
Cyprea,6768,,,R Hartley,
Cyretta,2113,,H 28,L F Herreshoff,
Cyrewe,T1309,,,Ferris de Joux,
Cyril,592,Other,,Oliver Lee,
Cyron,T801,,,R Hartley,
Czar,2353,Other,,D T Townson,
Czardas,5059,,Pacer 24,Alan Wright,
Czarina,8424,Keelboat,unknown,Alan Warwick,Auckland
Czarina,T4262,Trailer Yacht,Farr 6000,Bruce Farr,
D'accord,5736,,Raven 31,Owen Woolley,
D'artagnan,1365,,Cavalier 32,R Salthouse,
D'edge,T4106,Trailer Yacht,780,Jim Young,
D'olive,6097,,,D Peterson,
D'oude Liefde,9641,Keelboat,One off custom classic ketch,Hoek Yachtdesign,
D34,9654,Keelboat,Dehler 34,,
Da,3114,,Harmonic,H Wagstaff,
Dabchick,2541,,,L Davidson,
Dacarmu II,5189,,Townson 9.6,D T Townson,
Daedalus,4392,,,Alan Wright,
Daemon,8464,Keelboat,,B Craddock,
Daffy,T131,,Hartley 16,R Hartley,
Dahlemma,T2820,Other,,Dahl,
Daily Magic,T3829,,,Allan Warwick,
Daisy,T334,,Hartley 16,R Hartley,
Daisy,3563,,Davidson 28,L Davidson,
Daisy Duke,9185,Other,Shaw 7,Rob Shaw,
Dalliance,5897,Keelboat,Davidson 35,Laurie Davidson,
Dalnor,L1528,,,F Pelin,
Dalona,2901,,,L F Herreshoff,
Dalriada,2355,Other,Davidson 31,L Davidson,
Dalriada II,2695,,,R Hartley,
Dalton,,Keelboat,Beneteau,,
Damalis,T255,,,R Hartley,
Damaris,3610,,,Owen Woolley,
Damask,2828,,Young 43,Jim Young,
Damn Kiwi,9601,Multi-hull,Snow goose,Prout,
Damn Straight,9012,Keelboat,,Greg Elliott,
Dan McKinney,9976,Keelboat,Ganley 56,Lionhert,
Danae,T2646,Other,,Arthur Rendle,
Danaide,8058,Keelboat,Beale 11.6,Ray Beale,
Danau Toba,T1823,,,F de Joux,
Danceaway,4883,,Townson 28,D T Townson,
Dancer,10045,Keelboat,Beneteau 423,Beneteau,
Dancer,1804,,,J Spencer,
Dancer,T1518,,,Armstrong/Bligh,
Dancer II,T2358,,,Armstrong/Bligh,
Dancer II,6778,,Lotus 10.6,Alan Wright,
Dancing Lady,T2831,,Farr 6000,Bruce Farr,
Dandelion,2455,,Cavalier 36,D Peterson,
Dandy Lion,T2950,,Farr 6000,Bruce Farr,
Dandy-Lion,T2612,Trailer Yacht,Farr 6000,Bruce Farr,
Danger Mouse,3898,Keelboat,Pied Piper 22,Des Townson,
Dangerzone,10888,Keelboat,Young 88,Jim Young,Auckland
Danica,T3960,Other,,J B Brooke,
Dansero,2285,,Raven 26,Owen Woolley,
Dante,3069,,,L F Herreshoff,
Dara,2219,,,L F Herreshoff,
Daring,5981,Keelboat,,Alan Wright,
Daring II,4577,Other,Lotus 9.2,Alan Wright,
Dark Horse,6694,,,J Pugh,
Dark Star,9700,Other,,Paul Bicker,
Darraline,T2081,,,,
Darrell's Ant,T1248,,,,
Darth Vader,3953,,,Tarobocchia,
Daruma,4361,Keelboat,,Bruce Farr,
Dateline,10073,Keelboat,Lotus 10.6,Allan Wright,
Dau Soko,4111,,,Hartley,
Dauntless,7461,,Trimaran,Piver,
Dauntless,T3697,,,P Whiting,
Dauntless,6766,Keelboat,,R Beale,
Dauphin,2288,,Spencer 30,J Spencer,
Davalos,T2235,,,Honey/Trethewey,
Davision Bell,2532,Keelboat,Davidson 31,Laurie Davidson,
Davlyn,T2488,,,TretheweyMarten,
Davron,T264,,,R Hartley,
Dawn,276,,,C Smith,
Dawn Breaker 3,T1581,Trailer Yacht,,Threthewey,
Dawn Mist,625,,,W Jackson,
Dawn One,T170,,,R Hartley,
Dawn Reader,T43,,,R Hartley,
Dawn Rider,2024,Other,Variant,A Wright,
Dawn Song,6447,,Davidson 28,L Davidson,
Dawn Treader,3262,Other,Midnight 21,E Garrett,
Dawn Treader,7331,Multi-hull,,"R Given, K Thomas",
Dawn Whisper,T3969,,,A Warwick,
Dawnbreaker,T227,,,R Hartley,
Dawnbreaker,7147,,Trimaran,,
Dawnbreaker,1588,Keelboat,,Appleby,
Dawnbreaker II,T1812,,,Alan Wright,
Dawntreader,T1227,,,,
Dawntreader II,T1761,,,Armstrong/Bligh,
Day Dreamer,L1820,,,J Young,
Daybreak,T3785,,Ventura,Owen Woolley,
Daydream,3027,Keelboat,Townson 34,Des T Townson,Auckland
Daydreamer,6271,,Mull 40,Gary Mull,
Daylight Robbery,T3307,Other,H 28,R Hayward,
Days 'N' Daze,T3718,,Joker 6.7,R Given,
Days Like This,4188,,Davidson 28,L Davidson,
Dayspring,L1404,,,R Hartley,
Dayspring,7037,Multi-hull,,Jim Young,
Daystar,T2442,,Beachcomber,R Hart,
Daystar,7084,Multi-hull,,R Hartley,
Dazzla,4962,,Farr 9.2,Bruce Farr,
Dazzle Annie,8209,,,C White,
Ddraigg,623,,,John Welsford,
De Esse,L1110,,,De Vries,
De La Mer,4165,Keelboat,,Roberts,
De Wildthing,6714,Keelboat,Varient 22,Alan Wright,
Debbie Anne,2996,,,Alan Wright,
Debit,T852,Trailer Yacht,Young 5.7,Jim Young,
Debonair,3792,,Davidson 28,L Davidson,
Debra-Ann,T581,,,R Hartley,
December Sun,6470,Keelboat,Oceans,Philippe Briand,
Deception,6843,,Lotus 10.6,Alan Wright,
Decimal Point,6156,Keelboat,Lotus 950,Alan Wright,
Decimator,8308,,,D Lidgard,
Decision,4905,Keelboat,Tracker,Alan Wright,
Decision Point,T3593,Trailer Yacht,Noelex 25,TretheweyMarten,
Decisive,6058,Other,,Ray Beale,
Deckchairs Overboard,8305,,,Dvies/Wyeth,
Dedication,6632,Keelboat,Davidson 35,L Davidson,
Dee Bee,T2530,,,A Scott,
Dee Jay,T7500,Trailer Yacht,,B Farr,
Deeman,T2704,,van Dieman,J Lidgard,
Deep Purple,9255,Trailer Yacht,Shaw 750,Shaw,Bay of Plenty
Deer Stalker,5811,,,R Hartley,
Deerhunter,T3169,,,F Pelin,
Def Leppard,7387,,,R Given,
Defacto,1756,,,J Spencer,
Defender,C6,,HarbourCh 15,Alan Wright,
Defiance,L1001,,,W Garden,
Defiance,9169,Keelboat,,Alan Wright,
Defiant,25,,,J Lidgard,
Defiant N Z,5681,Keelboat,,B Roberts,
Deficit,8536,,Lotus 950,Alan Wright,
Deja Vu,7220,,,N Cross,
Deja Vu,T3500,Trailer Yacht,Ross 650,Murray Ross,
Deja Vu,3129,Keelboat,Reactor,P Whiting,
Deja Vu II,5440,,,H Wagstaff,
Del Sole,T693,,,TretheweyMarten,
Delante,4162,,Townson 34,D T Townson,
Delfin,2582,,,Laurent Giles,
Delfinaki,8340,,,Boden,
Delia,6681,Keelboat,,D Ganley,
Delicado,2005,Keelboat,Townson 32,D T Townson,
Delight,1093,,,Brook,
Delight II,1870,Other,Townson 32,D T Townson,
Delightful Lady,T1042,Trailer Yacht,,TretheweyMarten,
Delightful Lady II,T3284,,,R Hartley,
Delinquent,4734,Other,,Jim Young,
Delinquent Dolphin II,T3687,,Young 6,Jim Young,
Delius,5519,,,Wilkinson,
Deliverance,2888,,,B Birdsall,
Deliverance 3,10081,Keelboat,Dehler 47,Judel/Vrolijk,
Deliverence II,4773,,,Pugh,
Delmar,L1019,,,John Gladden,
Delos,L1466,,Corsair,R Salthouse,
Delos,1953,,,T Cookson,
Delphia,9022,Keelboat,Bavaria 42,Bavaria,Auckland
Delphin,2547,Keelboat,Sloop,Bruce Askew/Digby Taylor,Nelson/Marlborough
Delphina,6977,Keelboat,Chico 30,Gary Mull,
Delphinus,T1863,,Ventura,Owen Woolley,
Delphinus,1852,Keelboat,,Sam Crocker,
Delphinus,1151,,,M Griffiths,
Delphis,T1930,,,F Pelin,
Delphis,3784,Other,,M Stewart,
Delta,L1020,,,Keith Eade,
Delta 2,T2357,,Hartley 16,R Hartley,
Delta Dawn,T1879,,,Armstrong/Bligh,
Delta Lady,4632,,Noelex 30,B Farr,
Demijohn,1529,Keelboat,,J Lidgard,
Demoiselle,4255,,Variant,Alan Wright,
Demon Tricycle,7270,,Trimaran,M Tennant,
Demonstrator,9130,Keelboat,Thompson 30,Steve Thompson,
Demora,T1910,,,Alan Wright,
Demos,4851,Keelboat,Demon 10,J Lidgard,
Denali,4281,Keelboat,Farr 11.6,Bruce Farr,
Deneb,9376,Keelboat,Carribean,Van de Stadt,
Denim,9894,Keelboat,Elliott 11.50,Greg Elliott,Northland
Depth Charge,8252,,,C Barker,
Derwent,3383,,,Sayer,
Desafinado,T4228,Trailer Yacht,Noelex 22,Trethewy/Honey,
Descant,1873,Other,Townson 32,D T Townson,
Deseado,6584,,,Frank Blom,
Desert Rose,9972,Keelboat,Cavalier 39,,
Desert Storm,8093,,Lidgard 29,D Lidgard,
Desiderata,3392,,H 28,L F Herreshoff,
Desiderata II,4939,,,D T Townson,
Desiree,388,Keelboat,,L F Herreshoff,
Desiree,T371,,,J Lidgard,
Desiree II,3894,Keelboat,Nova,Alan Wright,
Desolina,U2290,Keelboat,,Holman & Pye,
Desperado,4837,,,M Elmes,
Despot,4070,,,Van de Stadt,
Destination,5489,Keelboat,,J Lidgard,
Destiny,887,Keelboat,,Stewart/Carter,
Destiny,T2872,,Farr 6000,Bruce Farr,
Destiny II,T2723,,Merlin,A Mummery,
Destiny In Motion,5873,Keelboat,Farr 9.2,Bruce Farr,Auckland
Destinyy II,1531,Keelboat,,Unknown,
Detente,E1083,Other,Etchells,Skip Etchells,
Devana,9231,Keelboat,Hanse 400E,Judel / Vrolijk,
Deviation,T496,,Hartley 18,R Hartley,
Devinci,8941,Keelboat,,Jean-Marie Finot,
Devocean,9193,Keelboat,Beneteau Oceanis 440,Farr,
Devon Maid,587,,,M Griffiths,
Devona,4492,Keelboat,,Sparkman & Stephens,
Dewdrop,331,,,A Young,
Di Su,2653,,,Hartley,
Di Trieste,8585,Keelboat,Beneteau Oceanis 50,Berret Racoupeau Yacht Design,Waikato/Thames
Diablo,1342,Keelboat,IOR 1/2 Ton,Sparkman/Stephens,Auckland
Dial One,1883,,H 28,L F Herreshoff,
Diamond,6626,,,Sampson,
Diamonds,5910,Keelboat,Farr 1020,Bruce Farr,Auckland
Diana,L1073,,,,
Diana II,126,Other,,J Spencer,
Dianthus,5109,,,Alan Wright,
Dick Whitington,7439,,,L Crowther,
Dickie Duncan,T4050,,,R Hartley,
Dickson Yachts,C8,,,Swarbrick,
Dickson Yachts,C7,Other,,Bruce Farr,
Dictation,T1094,Trailer Yacht,Scintilation,R Grenfell,
Dictator,4819,,,K Lidgard,
Diddakoi,2663,,,L F Herreshoff,
Die Fledermaus,3820,Keelboat,,A Warwick,
Die Fledermaus II,7426,,,B Rhodes,
Difference,2269,,,D T Townson,
Different Drummer,6611,Keelboat,Lotus 10.6,Alan Wright,Auckland
Dignity,T4225,Trailer Yacht,,Roger MacGregor,
Dilemma,5588,Keelboat,Young 88,Jim Young,
Dilution,T3966,,Joker 820,R Given,
Dimple,T1739,,,R Hartley,
Dinglemouse,673,,Pied Piper,D T Townson,
Dinkum,8724,,,F P Gulik,
Diomedea,7129,,,A Piver,
Diomedea,T2215,,,M Skinner,
Diomedes,5493,,,L F Herreshoff,
Dione,4589,Keelboat,Townson 34,D T Townson,
Dionysis,2026,Other,Townson 32,Des Townson,
Dionysus,38,Other,,P Vos,
Dioscuri,2088,,Raven 26,Owen Woolley,
Diosma,6857,,Variant,Alan Wright,
Diplomat,L1009,,,Jim Young,
Dipteron,T1334,Other,Hartley 18,R Hartley,
Dire Straits,5376,Keelboat,Farr 727,Bruce Farr,
Dire Straits,T3106,,Aquarius 22,C Jeffrey,
Dire Straits,7282,,Catamaran,M Tennant,
Dirtwater Fox,5491,,,Pelin,
Dirty Circus,T5900,Trailer Yacht,Elliot 5.9,Greg Elliot,Auckland
Dirty Dancing,T3773,,Explorer,V Chubb,
Dirty Deeds,7621,Multi-hull,Open 8.5,R Fisher,
Dirty Harry,T4250,Trailer Yacht,Elliot 5.9,Elliot,Auckland
Dirty Harry,9716,Keelboat,Dehler 38,Judel/Vrolijk,
Dirty Harry,T4250,Trailer Yacht,,Elliot,Auckland
Disco Dancer,T2605,,,D McMurray,
Discovery,4669,Keelboat,Mirage 30,M Elmes,
Discretion,4344,Other,,Jim Young,
Disorderly Behaviour,6528,,,Stevens,
Dissident,9149,Keelboat,Platu 25,Bruce Farr,Auckland
Distinction,T3103,,,Trethewey/Mart,
Distracted,9666,Keelboat,Bavaria 42,J & J -Bavaria,
Distraction,6015,Keelboat,Farr 1020,Bruce Farr,
Diva,2265,Keelboat,,J Spencer,
Diva,L1084,,,R Salthouse,
Diva II,8860,Keelboat,,Angelo Lavranos,
Diva Xv,8323,Keelboat,Lidgard 40,J Lidgard,
Divergence,4914,Keelboat,Ross 930,Murray Ross,Wellington
Diversion,L1035,Launch,,Mariner,
Diversion,5445,Keelboat,Davidson 35,Laurie Davidson,Bay of Plenty
Divided Affair,7421,,,F Pelin,
Diviner,3837,,,B Birdsall,
Dizz,8025,Keelboat,,D N Undrill,
Dizzy Limit,2892,,,A Oram,
Dj,8112,,,J Williams,
Django,1907,Keelboat,Pacific 38,Allen Smith,
Djinn,474,,,R Sewell,
Doctor Feelgood,T4076,,Morgan 740,J Morgan,
Doctor Foster,4612,,Cavalier 32,R Salthouse,
Doctors Orders,6235,Keelboat,Young 88,Jim Young,
Dodge Taxi,1850,,,Murray Ross,
Dodger,T2263,,Ventura,Owen Woolley,
Dog Star,8023,Keelboat,Oceans 12,Alan Wright,
Dojo,6826,,,M Orchard,
Dol' Selene,789,Keelboat,,Allan Warwick,
Dolce,T2799,,,J Brooke,
Dolce Vita,4346,,Cavalier 39,R Salthouse,
Dolfijn,67457,Keelboat,Swan 38,Sparkman & Stephens,
Dolittle,9258,Keelboat,,Denis Ganley (Tara),
Dollar Bill,4588,,Lotus 10.6,Alan Wright,
Dolphin,1135,,,E Cox,
Dolphine,2364,,,L F Herreshoff,
Dolphyn,1486,,,D Brooke,
Dominator,3450,,,Hal Wagstaff,
Dominique,1682,Other,H 28,L F Herreshoff,
Domino,2991,,,J Lidgard,
Domino II,4723,Keelboat,Lidgard 40,Kevin Lidgard,
Don Quixote,8807,Keelboat,,Laurie Davidson,
Don Quixote,7676,Multi-hull,Lagoon 380,"Van Peteghen, Lauriot Prevost",Wellington
Donata Polo,2552,Other,,A Mummery,
Donella,3747,Other,,M Orchard,
Donna Dee,T2059,,Tasman 20,Alan Wright,
Dorade,1487,,,,
Dorado,1603,Keelboat,Spencer 30,John Spencer,Auckland
Dorado II,T1660,,,B Holloway,
Dorana,8339,,,B Roberts,
Dorbloyz,T1444,,,TretheweyMarten,
Dorette,6478,Keelboat,Townson 11,D T Townson,
Doris,L1023,,,Collings/Bell,
Dorothy,T2462,,Hartley 16,R Hartley,
Dos Quanos,T3945,,Elliott 5.9,Greg Elliott,
Dotmuri,T3357,,,Honey/Trethewey,
Double Beat,3307,,H 28,L F Herreshoff,
Double Brown,T420,,,Alan Scott,
Double Bullet,7344,,,M Tennant,
Double D,T3809,,,J Everitt,
Double Dark,T1166,Trailer Yacht,Noelex 22,Honey/Trethewey,
Double Delight,T1249,Trailer Yacht,Pacer 24,Alan Wright,
Double Diamond,7550,,,Ron Given,
Double Dutch,T3611,,,Alan Wright,
Double Dutch II,5726,Keelboat,Davidson 28,Laurie Davidson,
Double Happy,3983,,,L Davidson,
Double Happy Zig Zag,T3526,Trailer Yacht,Young 6,Jim Young,
Double J,T636,,,A Scott,
Double Scotch,7301,,,Jim Young,
Double Shift,5997,Other,Farr 9.2,Bruce Farr,
Double Shot,7645,Multi-hull,Lightwave 45 Grande,Tony Grainger,Auckland
Double Trouble,6678,,,Bruce Farr,
Double Trouble,T3147,Other,,TretheweyMarten,
Double Trouble,U1 Multi Hull,Multi-hull,Fountain Pajot 41,,Auckland
Double Vision,T3520,Other,,Greg Elliott,
Double Vision,2741,,,M Stevens,
Double Vision,7306,,,,
DoubleShot II,12509,Multi-hull,Seawind 1250,Seawind,Auckland
Doublet,4107,Keelboat,Mercedes Clr,M Elmes,
Doucement,9097,Keelboat,Hanse 400E,Judel / Vrolijk,
Dougal,T3771,,Caribou 17,Pelin,
Doughnut,1396,Keelboat,S & S 24,Sparkman & Stephens,
Douglas's Impulse,4890,,,F Pelin,
Douglette,T1694,,Young 5.7,Jim Young,
Dove,2911,,,J Brooke,
Dove II,3902,Other,Davidson 28,L Davidson,
Dovetail,7527,Multi-hull,Unknown,Ron Given,
Down Under,T2054,,,Alan Wright,
Doyle Sails,9909,Keelboat,Elliott 7,Greg Elliott,
Dr Feelgood,5590,,Farr 1020,Bruce Farr,
Dragon,7414,Multi-hull,,Cochrane,
Dragon Fly,T3198,,,Bruce Farr,
Dragon Lady,6249,,Carpenter 29,R Carpenter,
Dragon Of Carnwath,T1806,,,Honey/Trethewey,
Dragon Quest,T3576,,Joker 6.7,Ron Given,
Dragonfly,6192,Other,,B Birdsall,
Dragonfly II,9015,Keelboat,,Johan Anker,
Draig Wen,7189,,,Roberts,
Drake,T3130,,,F de Joux,
Drakon,2749,,Cavalier 39,R Salthouse,
Drakon II,6103,Keelboat,,L F Herreshoff,
Dram,T3674,,Farr 6000,Bruce Farr,
Drambuie,3134,Keelboat,Gulf 30,B Birdsall,
Dreadnought,T1790,Trailer Yacht,Merlin,Allan Mummery,
Dream,917,Keelboat,,R.W.Oliver,Auckland
Dream Catcher,8987,Keelboat,Wilson,Wilson,Waikato/Thames
Dream Catcher II,8646,Keelboat,,Wilson,
Dream Catcher III,T2846,Trailer Yacht,Farr 6000,Bruce Farr,
Dream Cloud,3734,,Townson 34,D T Townson,
Dream Machine,5610,Keelboat,Davidson 35,L Davidson,Auckland
Dream Maker,3903,,Townson 8.8,D T Townson,
Dream Merchant,T1118,Trailer Yacht,,G N Orchard,
Dream Merchant,8337,Keelboat,,Roberts,
Dream Merchant II,7330,,,F Pelin,
Dream On,T388,Trailer Yacht,Noelex 22,Honey/Trethewey,
Dream On,T1230,,Monarch 17,Alan Wright,
Dream Rider,3422,,,D T Townson,
Dream Run,9339,Keelboat,,Sparkman & Stephens,Nelson/Marlborough
Dream Time,8682,,,W Mitcheson,
Dream Weaver,T721,Other,,A Warwick,
Dream Weaver,2979,,,Lowther/Blom,
Dream Weaver III,9628,Keelboat,Beneteau Cyclades 43.4,Berret-Racoupeau,
Dreamalong,3798,Keelboat,Lidgard 36,J Lidgard,Northland
Dreambird,9137,Keelboat,,Rob Humphreys,Wellington
Dreamcatcher,8690,Keelboat,Raven 38,Owen Woolley,Auckland
Dreamer,1839,Other,H 28,L F Herreshoff,
Dreamer,T512,,,F Pelin,
Dreamer II,544,,,Alan Wright,
Dreamer II,T645,,,Jim Young,
Dreamin Time,6532,,,Alan Wright,
Dreams R Free,5690,Keelboat,Lotus 10.6,Alan Wright,
Dreamship,T1201,,,D Nixon,
Dreamspinner,2931,,Townson 34,D T Townson,
Dreamtime,T2098,,,A Mummery,
Dreamtime,2231,Keelboat,Townson 34,D T Townson,
Dreamtime,8270,Keelboat,,L Giles,
Dreamtime III,1194,,,,
Dreamtime Too,3731,,,Owen Woolley,
Dreamweaver,T2281,,Kestrel,,
Dreamweaver,T1236,Other,Tasman 20,Alan Wright,
Dreamweaver II,6411,Keelboat,Salthouse 25,L Salthouse,
Dreamweaver II,T1773,,Monarch 17,,
Dreamweaver III,T2464,,,Moonraker,
Drifan,2306,Keelboat,,L F Herreshoff,
Driftaway,3399,,,H Wagstaff,
Drifter,T2960,,,,
Drifter,1199,,,J Gladden,
Drifter II,T1162,Trailer Yacht,,Alan Wright,
Drifter II,2625,,,R Roberts,
Drifter III,2985,Keelboat,Cavalier 30,D Peterson,
Driftwood,6981,Other,,Pelin,
Driftwood,T805,,Hartley 18,R Hartley,
Drinks Trolley,8737,Keelboat,T30,Steve Thompson,Auckland
Driving Force,6388,Keelboat,Young 88,Jim Young,Auckland
Drop Dead Fred,5005,Keelboat,Ross 930,Murray Ross,Auckland
Dropdown,T2382,,,J Spencer,
Dropout,4098,,,Alan Wright,
Drumbeat,1245,,,P Whiting,
Drumbeat,7135,Multi-hull,,Nichol,
Drummer Girl,1712,,,Alan Wright,
Drumpeel,3713,,,Lee,
Drums Of Time,8007,Keelboat,Farr 1020,Bruce Farr,
Drumstick,T2425,,,TretheweyMarten,
Dry Martini Fun,T2655,,,L Davidson,
Dry Reach,2870,,Pied Piper,D T Townson,
Dual Control,8332,Keelboat,Beale 33,Ray Beale,
Duamara,9304,Keelboat,Corsair,Ed Dubois (Westerly Corsair II),
Duanna,T2251,,,W D Jackson,
Dubious Status,2792,,,J Lidgard,
Dubs,T3803,,Joker 6.7,R Given,
Duchess,1232,,,Cox,
Duchess Matilda,4866,Keelboat,Davidson 35,Laurie Davidson,
Duchess Of Marlborough,5462,,H45,L F Herreshoff,
Due South,9706,Keelboat,Beneteau Oceanis 50,Berret-Racoupeau,Auckland
Duel Fuel,T2277,,,G Pelham,
Duet,T2248,,,R Hartley,
Duet,7039,Multi-hull,,Jim Young,
Duet II,7299,,,B Rhodes,
Duett,3164,,Nova,Alan Wright,
Duette,7549,Other,,Ian Farrier,
Duetto,5502,Keelboat,,J Benford,
Duetto II,8509,Keelboat,,Catalina,
Dufour470,470,Keelboat,Dufour 470,Felci Yacht Design,
Dufouria,9655,Keelboat,Dufour 41 Classic,J & J Design / Olivier Poncin,
Dufresne,L1673,,,Laurent Giles,
Dulci Bella,,Keelboat,Ganley Fishing Gaffer,Dennis Ganley,
Dulcinea,9520,Keelboat,unknown,Gary Mull,
Dumas,T2336,,,A Scott,
Dumont D'urville,6602,Keelboat,Farr 1220,Bruce Farr,
Dune,3719,,Farr 727,Bruce Farr,
Dunelm,T3459,,,A Mummery,
Dunk,T1835,,Monarch 17,A Wright,
Dunvegan,3567,,,A Smith,
Dunvegan Lady,5118,,,MacLeod,
Dusty,T2870,Trailer Yacht,Noelex 22,Honey/Trethewey,Auckland
Dutch Courage,2940,,,Atkinson,
Dutch Courage,T4011,Trailer Yacht,Pacer 24,A Wright,
Duty Free,6697,Keelboat,Farr 1220,Bruce Farr,
Duyfken,8449,,,A Mummery,
Duzus,T2418,,,Alan Wright,
Dwaal,T3216,,,D Norton,
Dyad,396,,,R Tucker,
Dyarchy,6637,Keelboat,,William Garden,
Dyis,T2581,,,Alan Wright,
Dynamic,3851,,Lotus 9.2,Alan Wright,
Dynamite,8189,Keelboat,Beale 1280,Ray Beale,
Dynamo,3883,Keelboat,Young 88,Jim Young,Auckland
Dynasty,4091,Keelboat,Farr 11.6,Bruce Farr (Farr 38?),
Dynchela,4541,,,R Hartley,
Dyona,2476,,,J Gladden,
e mail,T3981,Trailer Yacht,Elliott 7.4,Greg Elliott,Bay of Plenty
E Type,T3646,,Elliott 5.9,Greg Elliott,
E Type 2,T3702,Trailer Yacht,Elliott 7.4,Greg Elliott,
E-boat,T3743,Other,Elliott 7.4,Greg Elliott,
E-Nine,394,Keelboat,Elliott 9,Greg Elliott,
Ea,4357,Keelboat,Tracker 7.7,Alan Wright,
Eagle,3029,,H 28,L F Herreshoff,
Eagle,T4095,Trailer Yacht,Elliott 5.9,Elliott Yachts,
Ealgar,2896,,,J Brooke,
Earendil,T4233,Trailer Yacht,Trojan 750,Alan Warwick,
Earendil,2698,Other,Townson 32,D T Townson,
Earenya,4246,,,R Hartley,
Early Bird,4496,Keelboat,Lotus 9.2,Alan Wright,
Earthfirst,9788,Multi-hull,Victress,Arthur Piver,
Earthmover,T3921,Trailer Yacht,Elliott 6.5,Greg Elliott,
East Indiaman,4756,Keelboat,John Gladden,John Gladden,
East of Lizard,,Keelboat,Sundeer 60,Steve Dashew,Waikato/Thames
East Wind,T2347,,,F Pelin,
